,Sheep,Image,stdEntropy
751,35,15,0.07857047360709332
752,35,18,0.07974139984452008
753,35,84,0.10162285872736605
754,35,70,0.10650368046913125
755,35,110,0.08710849870671336
756,35,16,0.06985272762349064
757,35,71,0.07066297872663611
758,35,43,0.09591155543034298
759,35,30,0.0828432623662467
760,35,107,0.055459375414393615
761,35,55,0.0537299521634623
762,35,42,0.06769504017948327
763,35,3,0.11523673981810646
764,35,109,0.0753571497036691
765,35,85,0.08613046975434249
766,35,4,0.09624546258155935
767,36,73,0.08578695228954054
768,36,3,0.07557502189552287
769,36,32,0.07888196070867258
770,36,60,0.10491711106311209
771,36,74,0.0996202926717604
772,36,104,0.07537797379439976
773,36,59,0.06350838371164273
774,36,87,0.101493047417689
775,36,102,0.0820688651098313
776,36,116,0.06438746196683161
777,36,1,0.07545185225543848
778,36,118,0.08820915596965473
779,36,5,0.08692742078269292
780,36,19,0.08880922033146763
781,36,72,0.12109255437244384
782,36,4,0.07931938255288401
783,36,86,0.09226322544408601
784,36,103,0.11442445200000396
785,36,47,0.10262276630237284
786,36,34,0.08195321529740017
787,36,131,0.10571103941360864
788,36,31,0.1269772055419537
789,36,33,0.09364241260268405
790,36,2,0.09401988082306892
791,36,18,0.10269359879261206
792,36,20,0.0736949702040387
793,36,75,0.08404690920847357
794,36,71,0.1061440836699975
795,36,88,0.08330492370525454
796,36,101,0.09711377228452514
797,36,132,0.120442590778265
798,36,46,0.10755051874324177
799,36,130,0.09774605860289848
800,36,17,0.10161262880147554
801,36,115,0.0711028889823565
802,36,1,0.059298396299003936
803,36,2,0.08403027321860854
804,36,45,0.09256496789988303
805,36,58,0.10166726549707432
806,37,2,0.11581136026880073
807,37,1,0.1427547186497396
808,37,16,0.08681613972283772
809,37,28,0.09091846732497678
810,37,15,0.08627333721457581
811,37,38,0.10216815675855484
812,37,63,0.08837297303476863
813,37,89,0.0807739582178414
814,37,62,0.07739291708690603
815,37,51,0.08132644526934793
816,37,76,0.08063143057089221
817,37,39,0.07333870476457104
818,37,116,0.10040661825961948
819,37,14,0.07107714898312019
820,37,75,0.09453651580399242
821,37,61,0.0871580558897274
822,37,40,0.07097966730926022
823,37,113,0.08557490587989193
824,37,88,0.07149760010093278
825,37,114,0.07219262118138463
826,37,3,0.11563308007080547
827,37,74,0.0833110876905319
828,37,77,0.058087264050691395
829,37,90,0.0864058299528582
830,38,71,0.14164437327449067
831,38,87,0.14608580397650253
832,38,45,0.13557060552561884
833,38,99,0.12023072136353775
834,38,130,0.11850000767161312
835,38,14,0.12041175876472106
836,38,58,0.12528507481654722
837,38,59,0.11760302630236052
838,38,86,0.13944130148435085
839,38,102,0.13158551947839678
840,38,100,0.13607822058022287
841,38,101,0.11226051995684504
842,38,117,0.1285604685960058
843,38,115,0.13058483133621193
844,38,31,0.133115755939759
845,38,88,0.12473062237384809
846,38,15,0.07726900300462103
847,38,28,0.14590546932382376
848,38,2,0.1313112196601235
849,38,103,0.12746941516109592
850,38,116,0.14323230650796945
851,38,114,0.13821846318412312
852,38,29,0.13433029603496782
853,38,30,0.12559270643313153
854,38,57,0.11898405816864029
855,38,27,0.138484426217485
856,38,70,0.10483030452740585
857,38,56,0.13336495805642212
858,38,85,0.13287503745927878
859,38,118,0.13534164859430384
860,38,42,0.12543018752453608
861,39,92,0.07424007094394214
862,39,55,0.057369604837346114
863,39,53,0.07582475778798918
864,39,52,0.05730017808184135
865,39,68,0.07964572019854659
866,39,54,0.08589305043027855
867,39,81,0.07122509215050946
868,39,30,0.079276006604803
869,39,31,0.11726315227973129
870,39,91,0.06421168295668653
871,39,1,0.10581115145708474
872,39,80,0.08042196415638077
873,39,4,0.08590718285355352
874,39,2,0.06354499527297901
875,39,3,0.06691691843460408
876,40,23,0.08691082502634813
877,40,36,0.0896056485044298
878,40,104,0.09628928453609746
879,40,105,0.08419380309334441
880,40,48,0.08551953663071055
881,40,2,0.09133842653129161
882,40,35,0.08904483912953212
883,40,1,0.09411619824595732
884,40,64,0.07954758824285554
885,40,65,0.10299648380040592
886,40,92,0.09076214641892828
887,40,50,0.09377086488525758
888,40,118,0.08119079065783566
889,40,78,0.10013773107910358
890,40,117,0.08544259948760727
891,40,12,0.10262081371329015
892,40,51,0.1054404753458185
893,40,63,0.0772460391688925
894,40,116,0.08067141864669758
895,40,91,0.08324838783541748
896,40,62,0.07721321928563152
897,40,90,0.09867369585756977
898,40,119,0.1113394612388444
899,41,67,0.10076648510446032
900,41,10,0.10852627663039403
901,41,30,0.09898244635455747
902,41,19,0.1133050186944161
903,41,133,0.11804348253792994
904,41,181,0.11429807787168988
905,41,215,0.12263938566732502
906,41,216,0.09749903512137657
907,41,66,0.11104699841263022
908,41,95,0.11410463166992375
909,41,68,0.11842940781407861
910,41,125,0.10776317434397992
911,41,201,0.09091599992844893
912,41,53,0.08949474314383672
913,41,54,0.11678244973941329
914,41,116,0.10207502462347758
915,41,11,0.11219282877180274
916,41,142,0.10616510157264432
917,41,155,0.09343417259673305
918,41,171,0.11392674503138343
919,41,20,0.10768922099206021
920,41,80,0.11691140235320512
921,41,124,0.09929260134157798
922,41,126,0.10129350127594079
923,41,81,0.12066000694529316
924,41,1,0.09022308739532445
925,41,134,0.0860268608267203
926,41,96,0.12040940546692222
927,41,69,0.09900966622885632
928,41,157,0.08783776410011533
929,41,203,0.08924008075388866
930,41,21,0.0994140344434847
