,Sheep,Image,MinDist,IFDist
139,7,51,84.76641196191375,156.13218761106688
140,7,99,89.67491508269033,157.13138773718572
141,7,31,3.288818409491792,134.87614536593998
142,7,14,33.0509563855924,179.15637111093412
143,7,64,34.87154997199351,165.1966770308584
144,7,96,80.15130752444082,162.3288604584236
145,7,87,136.04633452508756,194.77629640448782
146,7,52,9.498393505008087,164.4734208997218
147,7,98,8.368260140422125,131.19794691792217
148,7,1,48.77362046897152,179.57018930320194
149,7,75,66.74044768096928,169.20146365169347
150,8,40,102.43664366684386,175.45523636795733
151,8,1,56.698218085673346,176.5724710355226
152,8,1,86.69864053963344,171.76887677224178
153,8,18,48.783111663222506,161.68841768064027
154,8,11,105.53693316999731,192.89684504376478
155,8,46,100.27750386583143,181.8978821234113
156,8,39,186.8213207839008,217.9622337260582
157,8,19,96.8697479825297,182.0748944128391
158,8,47,79.72200476694013,169.7253538288825
159,8,27,70.72531749614811,149.202444971443
160,8,29,92.25839013835855,180.35046792735406
161,8,28,114.41259889767814,185.78641188641416
162,9,6,89.06976562308996,165.83753791384822
163,9,12,70.6788975239688,158.25917929555854
164,9,2,107.55048868388158,194.45310957455763
165,9,1,117.81016519589971,170.03790494580218
166,9,20,115.05075536948283,174.08577978148077
167,10,35,150.00555767867613,219.67999328865963
168,10,49,90.41186283112346,175.52317554736246
169,10,59,54.76665384548457,150.77721399893534
170,10,58,132.8087282611264,182.76136763403494
171,11,64,146.99209884820388,214.82825974679145
172,11,144,74.75634474683184,147.6567614557412
173,11,159,98.23190313349762,188.93530501706715
174,11,20,148.5473040949344,257.4315727765245
175,11,34,120.85978830303507,185.69168102063097
176,11,62,143.87638560483745,206.56470033546964
177,11,131,110.7662819870596,189.5909085836355
178,11,93,47.869826774391704,210.3523760436045
179,11,78,93.10434294803723,175.6170176989237
180,11,63,91.90759987967375,200.11206615764192
181,11,161,17.986730849633776,130.50268500492055
182,11,48,72.13447026390673,178.33483615287815
183,11,92,56.149262397319056,210.50798604326158
184,11,49,77.47956791242629,189.68095148650173
185,11,121,63.082166873693076,144.12438918438366
186,11,32,96.44153861523226,215.98602271266822
187,11,143,81.94593146908072,248.85419391281457
