,Sheep,Image,Blur
143,7,64,0.0067054020100502515
144,7,96,0.0064027952261306535
145,7,87,0.006932003768844221
146,7,52,0.006853800251256282
147,7,98,0.006681846733668341
148,7,1,0.007143844221105528
149,7,75,0.00667713567839196
150,8,40,0.02544786432160804
151,8,1,0.015177292713567839
152,8,1,0.031618875628140704
153,8,18,0.01882097989949749
154,8,11,0.018493718592964826
155,8,46,0.016228486180904524
156,8,39,0.014663159547738693
157,8,19,0.010969064070351758
158,8,47,0.012913473618090452
159,8,27,0.015819252512562814
160,8,29,0.012937342964824121
161,8,28,0.011477229899497487
162,9,6,0.02476334798994975
163,9,12,0.013339353015075377
164,9,2,0.018227543969849245
165,9,1,0.015770571608040202
166,9,20,0.018389604271356785
167,10,35,0.018178706030150753
168,10,49,0.012520257537688442
169,10,59,0.018689227386934675
170,10,58,0.012698806532663316
171,11,64,0.01060411432160804
172,11,144,0.02546812185929648
173,11,159,0.043381752512562814
174,11,20,0.02126774497487437
175,11,34,0.019833856783919596
176,11,62,0.013303391959798995
177,11,131,0.013996388190954773
178,11,93,0.03613300879396985
179,11,78,0.013357883165829147
180,11,63,0.012323649497487437
181,11,161,0.012192211055276382
182,11,48,0.012709641959798994
183,11,92,0.017443153266331658
184,11,49,0.012518687185929649
185,11,121,0.043052920854271357
186,11,32,0.018032663316582914
187,11,143,0.02594064070351759
188,11,145,0.019737908291457287
189,11,106,0.029555590452261308
190,11,162,0.03308793969849246
191,11,94,0.0208856783919598
192,11,160,0.026915829145728643
193,11,108,0.030358354271356785
194,11,18,0.04826036432160804
195,11,2,0.019915672110552764
196,11,120,0.011552292713567839
197,11,21,0.019818310301507536
198,11,33,0.016922738693467335
199,11,1,0.01973728015075377
200,11,19,0.022669755025125627
201,11,77,0.011684202261306533
202,11,4,0.025301507537688443
203,11,35,0.025585427135678393
204,11,79,0.019306375628140703
205,11,107,0.02489305904522613
206,11,47,0.011855998743718593
207,11,3,0.013111652010050252
208,12,118,0.032949434673366834
209,12,69,0.04463473618090452
210,12,141,0.021660018844221106
211,12,80,0.026961683417085425
212,12,116,0.02112264447236181
213,12,167,0.05979695351758794
214,12,150,0.027362437185929647
215,12,152,0.029106469849246232
216,12,165,0.03116677135678392
217,12,71,0.04090515075376885
218,12,202,0.02151303391959799
