,Sheep,Image,Scale,Directionality
335,16,71,9.0,0.23039014009686418
336,16,72,9.0,0.3956995954398259
337,17,65,7.0,0.2896920512995271
338,17,135,8.0,0.26893549739040196
339,17,90,7.0,0.2006073228518526
340,17,88,8.0,0.12427350249496648
341,17,100,7.0,0.24209682499349194
342,17,43,8.0,0.14089097716277188
343,17,75,7.0,0.2785895957969492
344,17,109,8.0,0.2784021434101138
345,17,2,7.0,0.2190640934052736
346,17,86,7.0,0.28318442414190387
347,17,46,8.0,0.19018063675647018
348,17,74,8.0,0.19625529509439654
349,17,136,8.0,0.2667124906403458
350,17,91,7.0,0.16945620901272773
351,17,87,7.0,0.21558515582123178
352,17,111,8.0,0.2288011395117412
353,17,124,7.0,0.20015532710736778
354,17,3,8.0,0.22630861615184739
355,17,44,8.0,0.17129918985727913
356,17,122,7.0,0.2866025672094339
357,17,45,8.0,0.1523810481593076
358,17,30,8.0,0.08207330360450087
359,17,121,8.0,0.18851780871121876
360,17,1,7.0,0.23741638541189028
361,17,27,8.0,0.13973144162892273
362,17,123,7.0,0.18142877348463865
363,17,89,7.0,0.19003593015770676
364,18,58,8.0,0.2957159364511554
365,18,12,9.0,0.27510552843842
366,18,96,8.0,0.20629767664049425
367,18,24,8.0,0.16505318786533688
368,18,69,8.0,0.14457925692420892
369,18,46,8.0,0.26033494902445187
370,18,68,9.0,0.2485013843500578
371,18,45,8.0,0.24360485072547663
372,18,97,8.0,0.19656910131639957
373,18,95,8.0,0.1437217832252446
374,18,1,9.0,0.22632909793855427
375,19,6,9.0,0.3132278769765491
376,19,33,9.0,0.3170999886950858
377,19,72,9.0,0.31873711460052123
378,19,99,9.0,0.23512075280295827
379,19,111,9.0,0.1408688666200009
380,19,4,9.0,0.17596768179758626
381,19,48,9.0,0.29367790790890963
382,19,59,8.0,0.2357848836554143
383,19,70,8.0,0.22966788094871157
384,19,84,9.0,0.13047252368819626
385,19,124,9.0,0.2169801562321828
386,19,125,9.0,0.19981081828621886
387,19,2,8.0,0.2623725754723624
388,19,5,9.0,0.25582307721468134
389,19,123,9.0,0.18678359065393732
390,19,3,8.0,0.25843742872604814
391,19,20,7.0,0.2751727731929221
392,19,109,8.0,0.2772705316258539
393,19,18,8.0,0.28334758403283
394,19,58,7.0,0.20642620212674473
395,19,1,8.0,0.18246621779590144
396,19,46,9.0,0.2663404806746312
397,19,87,9.0,0.18432869599312146
398,19,134,8.0,0.2629044859546207
399,19,17,8.0,0.3173339480339414
400,19,45,9.0,0.29808020181416667
401,19,61,7.0,0.15324489859605994
402,19,30,8.0,0.32832127495417945
403,19,110,8.0,0.11991165434139059
404,19,44,9.0,0.2591776966814336
405,19,60,8.0,0.17928394695480374
406,19,71,8.0,0.3050730164924193
407,19,112,9.0,0.1334459392231236
408,19,73,9.0,0.32450298761701923
