,CurrTag,DeathDate,Sheep,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,Directionality,DirectionalityVar,Entropy,EntropyVar,FociCount,FociCountVar,FociSize,FociSizeVar,Lacunarity,LacunarityVar,Scale,ScaleVar,TissueToSinusoid,TissueToSinusoidVar
75,BW024,5/3/2012,1.0,Soay,7124.0,1.0,2.0,18.9,122.0,173.0,0.17237801080681595,0.0034112474039024363,0.5460608648105448,0.00019338272434166193,2.1666666666666665,3.138888888888889,540.9121212121212,58096.79540863184,0.13452777137696623,0.0007668870080174486,30.5,0.75,0.27878490011229806,0.00043303634185047163
78,BW039,23/03/12,107.0,Soay,7140.0,1.0,2.0,21.2,122.0,179.0,0.17007089046807197,0.006415714094024819,0.6231042786158244,7.753256613115174e-05,14.666666666666666,8.888888888888877,1009.8420720140463,90954.0737109667,0.07098768768689846,0.00017925881397252985,31.916666666666668,1.1597222222221717,0.363954957924053,0.0001335995695339228
81,BW056,25/02/12,141.0,Soay,7156.0,2.0,2.0,31.1,134.0,191.0,0.2031088708652427,0.0018498246141065002,0.6191922256316583,9.500432294309548e-05,13.11111111111111,5.543209876543212,2347.208422441756,576433.2265138344,0.10599752210714392,0.00025582427961557314,27.88888888888889,0.9876543209876318,0.3875157218224079,0.0004153500132852243
83,BW074,8/3/2012,14.0,Soay,7209.0,2.0,2.0,28.0,128.0,182.0,0.20415085087086954,0.011070032646552609,0.5993058731667954,0.0002028828213863797,7.170212765957447,9.247623358985967,862.8563668600901,90748.7637132644,0.09622027180368059,0.0005324206507474775,33.808510638297875,1.8143956541421853,0.3378624588339234,0.0006580333445208089
96,BL158,4/4/2012,57.0,Soay,7727.0,2.0,1.0,17.0,129.0,178.0,0.2581461580941232,0.012523221308300305,0.6314804479000454,0.00016377770973929215,11.551020408163266,6.655560183256985,1933.7497523734764,251086.55802445265,0.0814957086054942,0.0004754794003274897,37.326530612244895,31.730112453144546,0.3983870761019168,0.0005597698284366743
99,BG007,20/03/12,25.0,Soay,8219.0,1.0,0.0,15.1,115.0,164.0,0.5507916045464446,0.017176125381314553,0.6386710587131462,2.047219955863306e-05,16.428571428571427,7.387755102040826,1329.8898184374962,193889.40728662137,0.07320896047195102,8.179721060306724e-05,43.285714285714285,23.346938775510093,0.40523968507254526,0.0005805945058179329
103,BG018,24/02/12,24.0,Soay,8228.0,2.0,0.0,12.3,107.0,157.0,0.6239769696828161,0.0033177038609207288,0.6304482209691995,6.56463296232479e-05,15.75,7.6875,742.2050473326982,26772.57056726329,0.053330230681575524,7.200304388915463e-05,41.0,2.0,0.3607873210885382,0.00017408993684597807
105,BG024,26/02/12,92.0,Soay,8234.0,2.0,0.0,16.3,113.0,168.0,0.42292872176240154,0.0027900722500451536,0.5938976091382965,0.0001445979401042154,17.65714285714286,14.625306122448976,2230.0976426711723,561468.9330324241,0.0855128209169964,0.0003490764064786037,36.31428571428572,3.415510204081615,0.32654811743927825,0.0001799660635366074
106,BG027,25/03/12,104.0,Soay,8237.0,1.0,0.0,13.1,118.0,157.0,0.163701475908996,0.00334816916827466,0.6178395045490349,9.45604955252374e-05,17.693877551020407,9.232819658475652,1122.4309193280455,70943.75603080951,0.09673347818138359,0.0003706066563338218,30.26530612244898,0.9296126613911355,0.37364321299523673,0.0001291346739824924
107,BG035,20/02/12,26.0,Soay,8245.0,2.0,0.0,10.5,101.0,147.0,0.373165819411855,0.009357125952330682,0.6310241525243842,0.0001215759236222979,11.162790697674419,6.182801514332062,2164.4970068159532,434320.6844217167,0.0909336479933639,0.0004046735246204583,30.488372093023255,9.133585722011894,0.4062937944794813,0.0005396068544857018
108,BG043,9/3/2012,40.0,Soay,8252.0,2.0,0.0,13.3,113.0,167.0,0.11374730196188612,0.005382892424270483,0.63570428615264,5.2638234323370874e-05,6.478260869565218,6.684310018903592,879.2905243307416,106954.28625583908,0.10681033755697848,0.0001476108635164549,31.956521739130434,3.780718336483994,0.5102327281646982,0.0008043275340190448
109,BG046,14/03/12,38.0,Soay,8255.0,1.0,0.0,12.3,112.0,160.0,0.13652971558851254,0.01007951751030626,0.6083507240362224,0.00013422905432434613,18.483870967741936,13.862643080124878,2264.592692114252,345591.77187519113,0.1585109804977424,0.000545069983789122,25.70967741935484,29.560874089490103,0.4694080248166556,0.00063316353049596
110,BG048,9/3/2012,48.0,Soay,8257.0,1.0,0.0,11.3,114.0,153.0,0.10946786931464689,0.0009127363960194451,0.6095409931043865,6.237835682871839e-05,5.3,8.010000000000002,1111.2389724310776,724527.5201370418,0.1595277493508879,0.00022250979936031535,25.6,0.8399999999999637,0.5158715819245576,0.0004948153380192277
111,BG059,22/02/12,73.0,Soay,8269.0,1.0,0.0,13.3,109.0,155.0,0.16728379373601474,0.0038197934459383407,0.5585710910475757,0.00029416603295890227,0.6153846153846154,0.8520710059171598,331.20454545454544,6591.736570247936,0.1509431780568374,0.0008207736953633022,30.923076923076923,2.3017751479289403,0.3057912168081177,0.0005897710981835805
112,BG072,20/02/12,76.0,Soay,8282.0,2.0,0.0,12.5,106.0,156.0,0.2510884692273656,0.013365022620483225,0.541455825297394,0.0007162799833157053,7.888888888888889,4.320987654320991,1213.8367965367963,509455.543243498,0.12913511124813684,0.000884567538144137,33.22222222222222,4.839506172839417,0.2787831379391037,0.0008705174216061293
