,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size
57,4.0,45.0,0.09463424884797572,0.5727039774651986,12.0,2570.1666666666665,37.0,0.26923813360002385,0.29939054001265697,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
58,4.0,2.0,0.1729169307842003,0.5405391159949597,10.0,3960.7,35.0,0.28159341337454,0.2958651367961935,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
59,4.0,87.0,0.11484059213475795,0.5925957704681747,20.0,1389.4,35.0,0.1627116538473474,0.3586696434938589,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
60,4.0,13.0,0.1238701537101988,0.5795046708134594,18.0,2117.777777777778,35.0,0.13071610637920072,0.34373814652858786,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
61,4.0,86.0,0.10755102063008476,0.6037346827473988,12.0,3169.75,35.0,0.2354272482855584,0.3665949600848857,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
62,4.0,85.0,0.11247385653563376,0.5738435435856164,9.0,977.0,37.0,0.27175007679533514,0.3155350121600061,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
63,4.0,73.0,0.08724817029353378,0.6012891902068804,13.0,2992.0,33.0,0.2646571098541991,0.35071868941217754,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
64,4.0,47.0,0.16337762778167045,0.5328137005529199,11.0,2277.5454545454545,35.0,0.16572500593371942,0.29154311839784064,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
65,4.0,113.0,0.09614228737983838,0.5891050411124779,17.0,1900.3529411764707,33.0,0.0821523875386944,0.3326950453031551,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
66,4.0,60.0,0.12077258444501653,0.5907114909185216,14.0,2699.642857142857,35.0,0.20188486805993144,0.3640330523480873,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
67,4.0,72.0,0.10767753748992698,0.5366410524292816,15.0,1103.0666666666666,33.0,0.3774746697958263,0.26623069878046823,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
68,4.0,1.0,0.08925609902639475,0.5801256955556789,19.0,1593.052631578947,35.0,0.2993844837710657,0.3220995244541953,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
69,4.0,125.0,0.10979997719538236,0.5810832946457611,12.0,2564.6666666666665,37.0,0.2323544213936389,0.31987580536466725,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
70,4.0,12.0,0.12594022631802448,0.5854301831312589,12.0,1994.166666666667,35.0,0.13071234942449114,0.3506929818601807,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
71,4.0,46.0,0.1060058970481516,0.5966000481916772,15.0,2540.2,35.0,0.10894412441322067,0.3561704586687452,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
72,4.0,128.0,0.1212797146280636,0.5475139389585013,10.0,2156.7,37.0,0.2621861980069528,0.2900027424891185,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
73,4.0,126.0,0.10402750259367499,0.5528710081293849,15.0,1406.0,37.0,0.20185955877076747,0.278302627260143,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
74,4.0,99.0,0.09856345661553292,0.5844337485733516,12.0,2128.9166666666665,37.0,0.25663626967590203,0.3250084298867585,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
75,4.0,111.0,0.10410469352903882,0.5879337245043559,12.0,1960.333333333333,37.0,0.21628972507366304,0.3310576659240448,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
76,4.0,71.0,0.1007841464604763,0.5902261520258276,18.0,2296.222222222222,33.0,0.2409641360523468,0.33956437442926485,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
77,4.0,127.0,0.07893948166788622,0.5854547190184289,14.0,2521.5,35.0,0.1819115767101118,0.3165465860676764,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
78,4.0,88.0,0.10099738401847076,0.5773202083809691,14.0,2442.214285714286,35.0,0.21650488613921387,0.3180423364705153,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
79,4.0,74.0,0.10014544211447436,0.5626135436969787,14.0,2116.6428571428573,35.0,0.3742237571140957,0.29327765610942563,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
80,4.0,59.0,0.13205223794347193,0.5807401565693349,13.0,2209.923076923077,35.0,0.2463959353791477,0.3483542275147572,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29
81,6.0,32.0,0.10166358568075892,0.6034737824861999,10.0,863.7,33.0,0.15110034463844654,0.34911397008589595,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
82,6.0,145.0,0.10206830279659088,0.6235785125712643,15.0,855.6666666666665,29.0,0.1838660142943362,0.3921106528631148,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
83,6.0,46.0,0.083552369699997,0.6094449070575595,4.0,363.5,31.0,0.1232778154152763,0.3541550828625485,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
84,6.0,102.0,0.08186781145788308,0.6196976078653371,10.0,487.5,31.0,0.19155474125053631,0.3688303243052757,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
85,6.0,91.0,0.14257254988879467,0.5936467324183667,10.0,775.6,31.0,0.13505827555857994,0.35336631870732343,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
86,6.0,57.0,0.09186668975002148,0.6145352761891495,10.0,1055.7,31.0,0.2491791800172072,0.3635913648847161,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
87,6.0,1.0,0.0936209743839151,0.5973746561642191,7.0,719.4285714285713,33.0,0.18621417074189048,0.3382521375222763,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
88,6.0,58.0,0.09322651498048083,0.5997688499664613,13.0,871.2307692307692,33.0,0.16633928403416304,0.3381513957404312,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
89,6.0,143.0,0.13678486068804938,0.5730834681644885,5.0,1738.4,31.0,0.16997858607182792,0.3247767664194457,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
90,6.0,59.0,0.10611371228566296,0.59107240389576,10.0,613.4,33.0,0.10638959578664424,0.33100445401951056,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
91,6.0,19.0,0.0966794614345254,0.6161585860126758,12.0,768.0833333333335,33.0,0.17130232891586553,0.3702007638063287,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
92,6.0,72.0,0.09153814434511023,0.609857714606119,9.0,856.8888888888887,33.0,0.13648406940918595,0.3538097883158112,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
93,6.0,74.0,0.10447026015451302,0.6173963455732798,8.0,1799.5,33.0,0.12499225304611965,0.3726474449871329,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
94,6.0,104.0,0.09702899702120583,0.6121455097609327,12.0,1163.6666666666667,33.0,0.10622448681829272,0.3570002456664849,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
95,6.0,61.0,0.14022533896607145,0.5724089564539705,9.0,677.0,33.0,0.11396086468422365,0.31838771773610675,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
