Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Mean_hep_size,Min_hep_size,Max_hep_size,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,Inflammation
39.0,0.18700934579439255,0.17070628537854438,0.9885948926354784,0.47832753655708893,0.360331356556428,0.40022279985146675,0.37223832116726957,0.7474490879355208,0.0,0.5,0.25,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4,0.35714285714285715,0.5659340659340658,0.15417867435158453,0.038778548346102136,0.7813255926463474,0.0,0.09090909090909091,,,,0.34870187545524034
40.0,0.27354733848029256,0.44094856326361126,0.8974152934882168,0.2137815306416129,0.27684116380520885,0.2697977041928349,0.05047466983856979,0.980368786956599,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4,0.07142857142857142,0.6758241758241753,0.6152737752161385,0.03877854834610211,0.9417029511369134,1.0,0.0,0.12500000000000036,0.32558139534883723,0.4107142857142857,0.12805479178868054
41.0,0.4174065420560748,0.5624323578237918,0.8233422447643931,0.27610652978795025,0.26920917036636427,0.16965280356479767,0.26576400099731445,0.873640981467399,,,,,,,,,,,,0.5384615384615384,0.0,0.36363636363636365,0.3658536585365857,0.627906976744186,0.6785714285714286,0.15763192019771222
42.0,0.3084936778449698,0.532552605760351,0.8534696007179104,0.23495093089406752,0.28567164542325685,0.34496843668770877,0.16454288374372428,0.8001102894918535,0.5,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.42857142857142855,0.6023351648351656,0.6152737752161377,0.04259104607675835,0.2597968069666183,0.0,0.7272727272727273,,,,0.14489937633866712
43.0,0.3088785046728972,0.45810483735823926,0.8948992929093665,0.24901205480135138,0.2957825273544076,0.26513182324545115,0.2332746948605228,0.9142604300588082,,,,,,,,,,,,0.6318335752298017,0.0,0.2727272727272727,0.24695121951219517,0.3023255813953488,0.4642857142857143,0.16266583352140385
44.0,0.27573687994248747,0.5554203771218323,0.8444891025606202,0.19166760163057706,0.32640003068004997,0.25493444542831856,0.28829769988396664,0.817937455016204,0.5,0.5,0.25,0.3333333333333333,0.6666666666666666,0.0,0.8,0.5,0.4622252747252762,0.23054755043227734,0.04259104607675837,0.2985002418964683,0.0,0.7272727272727273,0.43902439024390305,0.6046511627906976,0.625,0.12709322952788163
45.0,0.2721470732907034,0.5520925091762481,0.8531010361859103,0.4707789331963366,0.5556011302628587,0.25749017921707357,0.38189584666209897,0.9511944000115554,0.5,1.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.6,0.6428571428571429,0.7122252747252756,0.6916426512968307,0.04259104607675837,0.9920174165457184,0.0,0.0,0.0,0.023255813953488372,0.0,0.48507409146565683
46.0,0.27156208277703603,0.7629837115888309,0.7589903473724363,0.18071516725168696,0.2563635575326987,0.07845737626651111,0.18726490105627397,0.8981611839363558,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,0.0,0.4,0.2857142857142857,0.6442307692307705,0.6930835734870314,0.03485712210885593,0.6669085631349783,0.0,0.18181818181818182,,,,0.12770462837188012
47.0,0.19961615487316423,0.37302060546124727,0.9075517493864467,0.29922184289400716,0.23828679897784655,0.2957933266139729,0.22095749598901573,0.7785605567069492,1.0,0.0,0.25,0.6666666666666666,0.6666666666666666,0.0,0.4,0.42857142857142855,0.42925824175824284,0.31556195965417855,0.034857122108855956,0.1918238993710692,0.0,0.8181818181818182,,,,0.15302371272403792
48.0,0.2079672897196262,0.8756086331033719,0.7095042866464043,0.17081790642881184,0.34290355739349976,0.029038247307835226,0.04327523336318622,1.0,0.5,0.0,0.25,0.6666666666666666,0.3333333333333333,0.0,0.4,0.2857142857142857,0.7245879120879123,0.6916426512968302,0.030972005373806306,0.9429124334784712,0.0,0.0,0.06402439024390275,0.3488372093023256,0.16071428571428573,0.12371960147582396
49.0,,,,,,,,,,,,,,,,,,,,0.9586357039187228,1.0,0.0,,,,
50.0,0.21688918558077436,0.6783228624991582,0.8109494487235587,0.12341523617188377,0.29065870242697867,0.09288631902816827,0.21152842287414228,0.9148163337189895,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.4,0.07142857142857142,0.6483516483516488,0.3854466858789623,0.019425583675247767,0.6952104499274311,1.0,0.18181818181818182,,,,0.08454333386084627
51.0,0.25009345794392523,0.4649540714312828,0.7296187625990919,0.08330528441602154,0.34926797124971287,0.4178982547344969,0.3368621262854056,0.5142280154096234,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.2,0.07142857142857142,0.6758241758241749,0.46181556195965434,0.03877854834610211,0.6214320270924044,0.0,0.2727272727272727,0.27439024390243905,0.4883720930232558,0.5892857142857143,0.06773278259847564
52.0,0.1560747663551402,0.24797819570390567,0.7214420047230546,0.3246402466642566,0.5093923796072942,0.371044271155671,0.30006591472658073,0.41368623655343717,0.5,0.5,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.42857142857142855,0.3949175824175832,0.3825648414985587,0.015504157438001506,0.25834542815674894,0.0,0.7272727272727273,,,,0.30672815243875495
53.0,0.25680490654205607,0.26504552607819304,0.6520695562309536,0.3228255076854034,0.25843861897511367,0.4702933531377646,0.7934658977026315,0.34815403230668135,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.0,0.5068681318681331,0.07780979827089272,0.034857122108855956,0.9511369134010643,0.0,0.0,,,,0.17230429604939226
54.0,0.26330759853718,0.1982347604113912,0.6851269066129898,0.19237898721457178,0.2972355767377697,0.4262419477227596,0.2012851567732202,0.38324378335401427,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4,0.07142857142857142,0.8063186813186838,0.7694524495677224,0.04647616281180781,0.5732946298984035,1.0,0.36363636363636365,,,,0.11394153396294848
55.0,0.2863883026831474,0.19869209797204782,0.76963325417752,0.3927753227435099,0.28707023022612116,0.5341326976749758,0.5948375619201056,0.4368933227097388,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4,0.07142857142857142,0.44711538461538536,0.3847262247838616,0.05043389855125084,0.7631833575229802,0.0,0.09090909090909091,,,,0.229990135551086
56.0,0.3164719626168224,0.2624783649501515,0.5029496888641235,0.1750719922211003,0.19741377254489986,0.3366753311053348,0.3961107152701641,0.2546113764467365,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.4,0.0,0.651098901098903,0.5389048991354474,0.04259104607675835,0.5706337687469762,0.0,0.36363636363636365,0.28963414634146367,0.6511627906976745,0.6964285714285714,0.0738136971066879
57.0,0.2913885180240321,0.23222704197506003,0.8670786803822842,0.3987525673345744,0.6717699182824989,0.47319202467470456,0.2934018233977588,0.5909872003560426,0.5,1.0,0.5,1.0,1.0,0.6666666666666666,0.6,0.9285714285714286,0.5288461538461542,0.5389048991354476,0.023238081405903784,0.814707305273343,1.0,0.09090909090909091,0.23780487804878064,0.6976744186046512,0.6071428571428571,0.4913938799787821
58.0,0.2851607020743105,0.23418285466739644,0.6649223217526415,0.17321916739867502,0.14644372356200558,0.37029154175685836,0.389357200234428,0.37348597514476445,0.5,1.0,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4,0.5,0.5817307692307714,0.5389048991354474,0.02323808140590385,0.28205128205128205,0.0,0.7272727272727273,0.2804878048780485,0.627906976744186,0.6785714285714286,0.06300253289360233
59.0,0.30665887850467294,0.2214990262228149,0.7242311526972576,0.1517758081204732,0.21552490700266339,0.4650328010892439,0.3731554827300121,0.404129286715213,1.0,0.5,0.25,0.6666666666666666,0.3333333333333333,0.0,0.4,0.42857142857142855,0.7925824175824183,0.38472622478386187,0.06582912748266218,0.41678761490082245,0.0,0.5454545454545454,,,,0.07844699626848532
60.0,0.2428437917222964,0.3687283452069993,0.6669019262910982,0.26301870462085875,0.22186425781054864,0.5041111877353988,0.47897250069362507,0.3910320355131164,,,,,,,,,,,,0.816884373488147,1.0,0.09090909090909091,,,,0.12840658517965223
61.0,0.32586674706059693,0.17073324091433686,0.619764560505111,0.07048421479317996,0.11816351762507206,0.49014769474024655,0.5487367269680801,0.32515960795552634,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.0,0.4,0.42857142857142855,0.5782967032967029,0.6152737752161377,0.030972005373806306,0.8101112723754234,0.0,,,,,0.025865741367998865
62.0,0.2857984559122308,0.3580676901402572,0.842760583282048,0.06871984741388983,0.11991373759049548,0.116647023684593,0.0045181747151450975,0.6243383450259882,1.0,0.5,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.5714285714285714,0.0,0.0,0.0,0.6715045960328979,1.0,0.18181818181818182,,,,0.026191171875829
63.0,0.2607476635514019,0.9044499618641472,0.4152544286445576,0.2054583193088747,0.4100397734173826,0.1830672112885259,0.10541104319105218,0.3456893353648148,0.5,0.0,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.42857142857142855,0.6785714285714295,0.07708933717579226,0.09295232562361577,0.9612965650701499,0.0,0.0,,,,0.18708601600173047
64.0,0.1485981308411215,1.0,0.4554528179543277,0.5366692845656158,0.5689908511184195,0.20831786112142592,0.31129869801584975,0.4895472142457236,,,,,,,,,,,,0.9605708756652153,0.0,0.0,,,,0.5729010194447703
65.0,0.2771877655055225,0.5639192149924116,0.4588225122516998,0.39357730791591444,0.4353991357853141,0.14404347972858933,0.2547985723502773,0.32629310601070627,,,,,,,,,,,,0.4216255442670537,1.0,0.5454545454545454,,,,0.3285334075045605
66.0,0.3803446261682243,0.44885446257832806,0.38350615982384145,0.07555677100863907,0.0800534902969856,0.38507240995172676,0.47615798433287254,0.2173534405415364,,,,,,,,,,,,0.7000483792936623,0.0,0.18181818181818182,,,,0.024582301303307335
67.0,0.35841121495327105,0.31891873028247425,0.7284840720672188,0.3877762818355212,0.4261812417693646,0.45030325535338533,0.4300423050491694,0.47983321340481483,0.5,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.5714285714285714,0.9443681318681345,1.0,0.04647616281180781,0.573536526366715,0.0,0.36363636363636365,0.4054878048780489,0.5348837209302325,0.6071428571428571,0.3216785492820031
68.0,0.28136539776612723,0.3932556825710798,0.6628493635117839,0.48449373756612024,0.651534497271268,0.29084437520944106,0.3541526607985671,0.38872225112629677,0.5,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.4,0.21428571428571427,0.5844780219780231,0.6916426512968304,0.027123198140953583,0.2622157716497339,0.0,0.7272727272727273,0.3932926829268299,0.5581395348837209,0.625,0.5788784356386983
