,Sheep,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size,Unnamed: 0,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
20,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,34.0,80.0,0.11771342945669967,0.5308527286533672,3.0,1236.6666666666667,31.0,0.27206702359256035,0.25789891987031416,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
21,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,35.0,51.0,0.1497788296306871,0.5534674770386371,9.0,705.4444444444445,31.0,0.19676600842664627,0.2885995549385445,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
22,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,36.0,52.0,0.12071410950734268,0.6024784802881098,14.0,859.5,31.0,0.1743251056645297,0.35790388041762417,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
23,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,37.0,117.0,0.12404033362500493,0.5673747654287148,8.0,639.0,31.0,0.1362008912583407,0.2958588238715017,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
24,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,38.0,3.0,0.1334231014660105,0.5483853345066916,14.0,603.1428571428571,29.0,0.2455207313346013,0.2859556323203973,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
25,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,39.0,19.0,0.13803853875971875,0.5693499615906836,9.0,834.0,31.0,0.2075283041660929,0.30371812681393184,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
26,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,40.0,50.0,0.1194522239939198,0.5812541928186514,10.0,872.3,31.0,0.20936438657416231,0.3255735820975192,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
27,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,41.0,78.0,0.09451159527492492,0.6029630275294213,10.0,502.1,31.0,0.21196819357771604,0.3404607447917025,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
28,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,42.0,77.0,0.10666535065574972,0.5776235301079334,9.0,444.66666666666674,31.0,0.2584113199703932,0.3012266398234981,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
29,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,43.0,100.0,0.12493328478745075,0.5863167083318159,8.0,1182.875,31.0,0.26405490040538443,0.3315842411003184,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
