,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
2976,113,31,0.07452276185040126,0.6364128032679488,6,455.83333333333326,35,0.239603744826254,0.3978535435791835,BG022,25/02/12,Soay,8232,2,0.0,,,
2977,113,93,0.11228768769350396,0.6224549716368708,14,732.4285714285713,31,0.17297369080559458,0.4042691299955805,BG022,25/02/12,Soay,8232,2,0.0,,,
2978,113,63,0.10821598097079664,0.6285096477178183,6,857.1666666666665,29,0.12051827254520366,0.4236294336288377,BG022,25/02/12,Soay,8232,2,0.0,,,
2979,113,2,0.07591114552180832,0.6332959691533768,12,1237.5833333333333,33,0.08602363940097346,0.3953232216771981,BG022,25/02/12,Soay,8232,2,0.0,,,
2980,113,5,0.07763659046350388,0.6207547914399736,17,712.2941176470587,33,0.18088123510778928,0.3667789694385771,BG022,25/02/12,Soay,8232,2,0.0,,,
2981,113,123,0.0985905822870758,0.6275708056573774,8,796.25,31,0.16857342894262872,0.4032162663509517,BG022,25/02/12,Soay,8232,2,0.0,,,
2982,113,137,0.0939578613647122,0.6347264483765341,11,861.9090909090909,31,0.11950168329795728,0.4256690697573217,BG022,25/02/12,Soay,8232,2,0.0,,,
2983,113,4,0.07813520890109205,0.6262685703843522,13,927.0769230769232,33,0.15782223580624138,0.3808384341061076,BG022,25/02/12,Soay,8232,2,0.0,,,
2984,113,32,0.07453303551029328,0.6307467998219798,7,527.7142857142857,33,0.2606251792265231,0.38397379395629694,BG022,25/02/12,Soay,8232,2,0.0,,,
2985,113,19,0.07153060178732934,0.6369116662118928,6,922.1666666666665,31,0.23533821445666456,0.3986143411577318,BG022,25/02/12,Soay,8232,2,0.0,,,
2986,113,3,0.07086854530086778,0.6293099850698353,13,1098.4615384615388,35,0.2153486450436284,0.3781209397057274,BG022,25/02/12,Soay,8232,2,0.0,,,
2987,113,45,0.07694107539005939,0.6417918018532875,9,699.1111111111112,33,0.1926482808676624,0.416287162556323,BG022,25/02/12,Soay,8232,2,0.0,,,
2988,113,1,0.07578566335572529,0.6355433493473037,6,587.6666666666666,33,0.1072739396335982,0.39489967314965135,BG022,25/02/12,Soay,8232,2,0.0,,,
2989,113,77,0.10507100124712627,0.6320842076310119,9,672.4444444444445,31,0.07435775778243736,0.43142848126625055,BG022,25/02/12,Soay,8232,2,0.0,,,
2990,113,48,0.08534709790643769,0.6338364124940039,18,639.0,31,0.1765790139723259,0.4082309308698641,BG022,25/02/12,Soay,8232,2,0.0,,,
2991,113,138,0.09284493246408723,0.6321708702780394,10,434.0,29,0.16974492034596012,0.4095644042158266,BG022,25/02/12,Soay,8232,2,0.0,,,
2992,113,89,0.07424059956294675,0.6404231574249996,5,419.0,35,0.27920065292291457,0.4081921448820735,BG022,25/02/12,Soay,8232,2,0.0,,,
2993,113,46,0.08086995896450043,0.6352002386030852,11,878.1818181818181,33,0.18027546552482995,0.4072740884413201,BG022,25/02/12,Soay,8232,2,0.0,,,
2994,113,17,0.059518335358511136,0.6440595209957558,10,847.2,35,0.2703670807848365,0.39828174503002267,BG022,25/02/12,Soay,8232,2,0.0,,,
2995,113,62,0.07157421312564682,0.6494124271197141,5,688.2,31,0.1679961767434574,0.4383783554790963,BG022,25/02/12,Soay,8232,2,0.0,,,
