,Sheep,Image,Entropy
632,29,188,0.6260424119799948
633,29,205,0.6292315952909954
634,29,163,0.6325422851259929
635,29,142,0.5953950151787027
636,29,189,0.5964929915290109
637,30,18,0.6130682283003781
638,30,66,0.6187646645405136
639,30,62,0.6283771598897693
640,30,19,0.6185490684539129
641,30,1,0.6229091464974841
642,30,2,0.5995099299712365
643,30,128,0.6165081643235311
644,30,4,0.5999828879417834
645,30,33,0.5965396549298523
646,30,64,0.6195659782947587
647,30,49,0.6003858996815511
648,30,35,0.5820423439841285
649,30,89,0.6167624448987366
650,30,65,0.5877662558818177
651,30,112,0.6113093381831608
652,30,111,0.6089707488162766
653,30,48,0.5999689666544793
654,30,113,0.587810043987839
655,30,141,0.5934919496339132
656,30,21,0.6146476597053331
657,30,114,0.5881496251430551
658,30,77,0.5943836053807572
659,30,99,0.617236127772431
660,30,47,0.6260257414631395
661,30,34,0.6075119136211211
662,30,126,0.6248304275673049
663,30,154,0.5877087665869372
664,30,3,0.589679975937963
665,30,76,0.5909564251891157
666,30,152,0.5965460714936164
667,30,140,0.6076179022690807
668,30,63,0.6095531157705167
669,30,79,0.5906414737406231
670,30,139,0.6000446251755718
671,30,153,0.6052640282706172
672,30,155,0.5928305238208248
673,30,78,0.6067691618954059
674,30,127,0.6147105256969903
675,30,20,0.6165286047943683
676,30,46,0.6064861461932295
677,30,90,0.6234910899644028
678,30,100,0.6175149126195738
679,31,98,0.6185248247628571
680,31,121,0.6120802521573737
681,31,137,0.6168491254183167
682,31,123,0.6217968836508521
683,31,67,0.6231033481379901
684,31,32,0.6216223811674384
685,31,33,0.6187379637486284
686,31,66,0.6124564940791085
687,31,80,0.6012015272041165
688,31,20,0.597275693715451
689,31,79,0.627416659538119
690,31,122,0.6232065259207531
691,31,90,0.6124791482332537
692,31,51,0.6154046888391709
693,31,65,0.6081555302687116
694,31,19,0.6024435835225166
695,32,29,0.6191561288403156
696,32,17,0.6034413394512934
697,32,30,0.6304829515277914
698,32,49,0.6369414643542188
699,32,2,0.6087289401816869
700,32,18,0.6060937111226201
701,32,13,0.6170072467150807
702,32,19,0.632748988678395
703,32,1,0.6151388221524436
704,33,40,0.6441543567169848
705,33,8,0.6274926137511208
706,33,53,0.6489313880653884
707,33,72,0.6327869634472392
708,33,9,0.6329682853779843
709,33,59,0.6329217827225069
710,33,58,0.6351457165513059
711,33,74,0.641377700688142
712,33,11,0.6408300064926443
713,33,1,0.6164686033546826
714,33,10,0.6355909914815825
715,33,41,0.64489290674791
716,33,60,0.6475647581732544
717,33,26,0.6242956275795084
718,33,73,0.6316044953783777
719,33,25,0.6403839529500364
720,33,27,0.6285190859984243
721,34,88,0.6409447750916251
722,34,25,0.634243521756032
723,34,89,0.6380956012452601
724,34,39,0.6254547908528268
725,34,10,0.6517171044047343
726,34,1,0.6277808726661387
727,34,37,0.6331639128168379
728,34,68,0.6192826545720282
729,34,12,0.6516159295548554
730,34,91,0.643138021364984
731,34,90,0.6454143144994178
732,34,52,0.6577331569052332
733,34,51,0.6249725211385215
734,34,26,0.6519834037375585
735,34,53,0.622638478787423
736,34,2,0.6451761958330977
737,35,123,0.6407909875124868
738,35,122,0.6481323018591878
739,35,56,0.6529600976753673
740,35,59,0.6376905628241125
741,35,108,0.6507398903900946
742,35,44,0.6522594167772828
743,35,17,0.6300371458118965
744,35,73,0.6318924480888899
745,35,121,0.6511148690185165
746,35,2,0.6461029791435442
747,35,58,0.6302225497909981
748,35,1,0.6482716229191797
749,35,72,0.6361316620410206
750,35,57,0.63658275640049
751,35,15,0.6390553248316573
752,35,18,0.6405488195566824
753,35,84,0.6216608563312567
754,35,70,0.614768207717989
755,35,110,0.6450550204324781
756,35,16,0.6471163219153065
757,35,71,0.6537199340593853
758,35,43,0.636448565083458
759,35,30,0.6351907978577027
760,35,107,0.6567891671062547
761,35,55,0.6556229057720797
762,35,42,0.6530000456545058
763,35,3,0.611295499063695
764,35,109,0.6413164958219331
765,35,85,0.6370728998679518
766,35,4,0.6270591883272447
767,36,73,0.6368982398015257
768,36,3,0.650315365217194
769,36,32,0.6493570647650213
770,36,60,0.6263638445945714
771,36,74,0.6276045645061545
772,36,104,0.650408267427442
773,36,59,0.6537660269764458
774,36,87,0.626787937856079
775,36,102,0.6434400542144032
776,36,116,0.6568556536835902
777,36,1,0.6472271332058797
778,36,118,0.6400096816437589
779,36,5,0.6383092255173852
780,36,19,0.6424517546000531
781,36,72,0.6169412787100863
782,36,4,0.6440401915967104
783,36,86,0.6399010750553025
784,36,103,0.6181559902258258
785,36,47,0.6385439601744898
786,36,34,0.6448079306289638
787,36,131,0.6262072597208614
788,36,31,0.6155229298912999
789,36,33,0.6373596353426736
790,36,2,0.6267747491709621
791,36,18,0.6426042827183187
792,36,20,0.6513134159522003
793,36,75,0.6428536200005026
794,36,71,0.628644652948661
795,36,88,0.6429210996687608
796,36,101,0.6356655859061746
797,36,132,0.6213791774094851
798,36,46,0.629535192641453
799,36,130,0.6331257805553211
800,36,17,0.6387783353229155
801,36,115,0.6474587145962309
802,36,1,0.6485694767779578
803,36,2,0.646150645000844
804,36,45,0.6374974622371897
805,36,58,0.627971855794654
806,37,2,0.620937323138858
807,37,1,0.5816963804222193
808,37,16,0.6432033277181514
809,37,28,0.6385013189033761
810,37,15,0.6418788388004706
811,37,38,0.6302604697926038
812,37,63,0.6432169287689047
813,37,89,0.6451165911481299
814,37,62,0.6484379724108144
815,37,51,0.6416936721319304
816,37,76,0.6451933384571922
817,37,39,0.6530731531400338
818,37,116,0.6255670103634832
819,37,14,0.6512572038436077
820,37,75,0.6381358061829727
821,37,61,0.6444211484192348
822,37,40,0.6499390194559582
823,37,113,0.6447672619569691
824,37,88,0.6549106239780732
825,37,114,0.6511043427568286
826,37,3,0.6181948618619661
827,37,74,0.6412392923227282
828,37,77,0.6599628742189395
829,37,90,0.6422405747189379
830,38,71,0.5971305926910623
831,38,87,0.592004114045227
832,38,45,0.6078279348438278
833,38,99,0.6169308867688761
834,38,130,0.6189483455236766
835,38,14,0.6164560742604437
836,38,58,0.6108973182722535
837,38,59,0.6147149481941745
838,38,86,0.5961432580629056
839,38,102,0.6110377243368035
840,38,100,0.6006589195610395
841,38,101,0.6260190562493089
842,38,117,0.6133605647229394
843,38,115,0.6093758671978194
844,38,31,0.6020885821479711
845,38,88,0.6041367138386893
846,38,15,0.6493460129993887
847,38,28,0.5944599295048335
848,38,2,0.5988537391609903
849,38,103,0.6120592265280376
850,38,116,0.5954720129180764
851,38,114,0.6000607483832985
852,38,29,0.6047678038953033
853,38,30,0.6121948160237694
854,38,57,0.6125045928782149
855,38,27,0.5989981976130788
856,38,70,0.6258144972285911
857,38,56,0.6082242454360176
858,38,85,0.6000434676038895
859,38,118,0.5969244904715532
860,38,42,0.61141776376083
861,39,92,0.6508072779178347
862,39,55,0.6621189517877262
863,39,53,0.655264617976543
864,39,52,0.6620214902740535
865,39,68,0.6442462672192351
866,39,54,0.6470071361492288
867,39,81,0.652571875057816
868,39,30,0.6435527211668385
869,39,31,0.6168209955713574
870,39,91,0.6558738559047294
871,39,1,0.6343147313305137
872,39,80,0.6468004110220872
873,39,4,0.6464794008662491
