,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid
220,12,191,0.096467963,0.609123621,8,774.25,35,0.199052165,0.36515127
221,12,117,0.090794581,0.599312693,11,1812,33,0.287701288,0.334638737
222,12,201,0.123904078,0.591447682,16,1240.3125,27,0.224155925,0.350711439
223,12,83,0.113493663,0.578948076,9,1518.333333,31,0.320956321,0.323550199
224,12,178,0.092581242,0.606640462,12,613.6666667,33,0.213002417,0.353951435
225,12,67,0.062730214,0.642897792,9,2906.888889,47,0.514257003,0.398090673
226,12,82,0.084453401,0.616794703,15,1128.466667,33,0.285929162,0.360308791
227,12,193,0.117859985,0.60594072,13,817.4615385,29,0.209015994,0.382639439
228,12,164,0.117691192,0.622834157,10,944.3,33,0.218582048,0.423896509
229,12,166,0.082835998,0.608054928,16,830.5,33,0.268285827,0.347931197
230,12,179,0.061095563,0.620333553,12,1031.916667,35,0.221471512,0.351495907
231,12,95,0.128076672,0.582638518,9,1830.888889,33,0.188643479,0.333965157
232,12,104,0.121103474,0.603722094,19,1239.789474,33,0.189079345,0.371015048
233,12,151,0.081048605,0.606026221,11,896,35,0.259067987,0.340764856
234,12,192,0.089747612,0.610615446,11,1545.090909,35,0.189644503,0.358425043
235,12,70,0.105321813,0.614253752,8,3093.625,33,0.240147374,0.378815904
236,12,180,0.071125987,0.618931042,9,1826.111111,35,0.263460843,0.353551753
237,12,68,0.106422039,0.622888137,13,811,33,0.282668618,0.397002937
238,12,81,0.055188222,0.632037208,12,1932.25,47,0.580374696,0.361093846
239,12,103,0.150823742,0.613612851,9,1907.777778,29,0.111607732,0.474990753
240,13,250,0.088483802,0.598762183,9,2286.111111,37,0.45215223,0.325704289
241,13,257,0.063985316,0.600619931,12,1123.666667,35,0.388892155,0.321667189
242,13,249,0.085619041,0.59954896,9,1652.555556,35,0.269536801,0.329854689
243,13,224,0.112336167,0.608871325,10,753.5,35,0.282315321,0.347492188
244,13,217,0.070982196,0.621569855,14,1172,35,0.284115331,0.352657123
245,13,240,0.088319562,0.601543347,9,2313.111111,35,0.47369688,0.331223363
246,13,256,0.104564354,0.594299193,10,1352.4,35,0.41686759,0.321525053
247,13,233,0.076171866,0.597666851,11,2833.909091,35,0.457449259,0.321373143
248,13,232,0.08682974,0.591450097,12,1514.5,35,0.321149212,0.316634154
249,14,113,0.099549442,0.600381973,8,850,33,0.220110767,0.329906539
250,14,95,0.094378108,0.596875121,6,953.3333333,35,0.07997134,0.331246925
251,14,53,0.057405634,0.594649901,9,762.1111111,35,0.244631705,0.311358611
252,14,96,0.125593307,0.616153683,4,562.75,33,0.059179897,0.391859393
253,14,141,0.105753607,0.571623165,5,912,35,0.103073969,0.298531122
254,14,112,0.076804881,0.594115989,6,1070.333333,35,0.414409231,0.314602099
255,14,157,0.150973176,0.583901049,16,1110.25,35,0.173412085,0.352345575
256,14,32,0.089302531,0.60570099,8,754.375,35,0.144539215,0.340775335
257,14,51,0.103618384,0.585962212,5,1774.2,35,0.177837268,0.31344717
258,14,31,0.075914315,0.619367514,3,533.3333333,33,0.145045486,0.354841793
259,14,144,0.116386436,0.598993854,8,1034.5,33,0.07714779,0.349008439
260,14,19,0.092336081,0.600507596,5,528.4,33,0.221282608,0.327333866
261,14,30,0.078061055,0.596383471,5,934.6,35,0.380058299,0.322529057
262,14,4,0.107358313,0.596352581,5,522.8,33,0.222349315,0.329316305
263,14,143,0.129316144,0.593655162,12,959.4166667,33,0.133695128,0.339125103
264,14,155,0.186896847,0.566087929,12,785.9166667,35,0.178383584,0.347190175
265,14,98,0.089088706,0.596425795,3,317,35,0.14087283,0.328156322
266,14,52,0.101060878,0.601736838,10,853,35,0.228782661,0.341774908
267,14,129,0.069876746,0.609367509,7,790,35,0.247282079,0.333342549
268,14,100,0.08816285,0.617535424,7,961.7142857,35,0.061936206,0.363989446
269,14,125,0.091763684,0.621508674,12,612.0833333,35,0.182235701,0.376500069
270,14,142,0.079456149,0.584313892,7,916,33,0.087210524,0.305989081
271,14,140,0.094454139,0.581291416,7,896.8571429,35,0.091828585,0.306376707
272,14,18,0.075329134,0.595481616,6,789.1666667,35,0.41822732,0.322249213
273,14,67,0.097383116,0.607958748,6,1040,33,0.286398921,0.36150317
274,14,68,0.104826402,0.574817119,9,722.3333333,33,0.244985434,0.304785058
275,14,99,0.09107494,0.61993693,4,357.25,33,0.046781723,0.367312615
276,14,114,0.096730668,0.619981635,6,1337.5,33,0.082573179,0.373600095
277,14,3,0.090188293,0.575883634,4,700.75,35,0.449705157,0.296197551
278,14,126,0.113591958,0.597635936,7,1232.714286,33,0.080662264,0.349518711
279,14,5,0.071786684,0.618582664,4,848.75,33,0.184310061,0.353585678
280,14,2,0.082426884,0.599582541,4,356,35,0.219828646,0.322655108
281,14,44,0.091411455,0.576116148,9,861.8888889,33,0.372659211,0.294155764
282,14,54,0.083699962,0.581039902,11,1081.090909,35,0.162896334,0.30095975
283,14,65,0.073572967,0.602355246,7,883.2857143,33,0.261700368,0.326787488
284,14,80,0.110258095,0.615030329,5,1136,33,0.124724855,0.376411002
285,14,82,0.120541542,0.608899168,10,1246.2,29,0.198483199,0.393423579
286,14,1,0.072921031,0.59249531,6,788.6666667,35,0.385847552,0.315982757
287,14,17,0.083609355,0.61413482,6,1803.166667,35,0.31109791,0.349481617
288,14,81,0.113227352,0.598333822,3,957.3333333,31,0.231358273,0.339283771
289,14,94,0.088827729,0.599969288,3,501.6666667,33,0.193074354,0.339941312
290,14,111,0.110414406,0.613816752,11,1010.181818,33,0.194866725,0.373541794
291,14,66,0.08413949,0.589027455,12,789.25,31,0.322758976,0.318893045
292,14,127,0.1116748,0.603157434,4,772.75,35,0.154919502,0.345766583
293,14,128,0.069310835,0.617311258,7,693.4285714,35,0.19373132,0.348713772
294,14,97,0.12071111,0.616856873,12,689.0833333,33,0.089345675,0.379902127
295,14,50,0.061183156,0.596079674,11,560.8181818,33,0.36887676,0.315337418
296,15,138,0.160223054,0.57811854,7,3007.857143,31,0.184198463,0.326999954
297,15,95,0.096636789,0.613868433,5,1701.6,33,0.230012528,0.359298498
298,15,30,0.088674114,0.619513041,11,2013.272727,31,0.067665293,0.376668705
299,15,70,0.07837492,0.628908641,14,1445.285714,33,0.205033531,0.389310599
300,15,109,0.101733564,0.623421132,13,1493.692308,31,0.164577107,0.40331911
301,15,96,0.090806015,0.628735507,8,1360.375,31,0.157030613,0.402069063
302,15,111,0.11516495,0.596609907,7,2263.285714,31,0.242469434,0.33990917
303,15,124,0.093720397,0.628463567,10,2401.6,31,0.168453104,0.407446622
304,15,58,0.0916189,0.603423831,12,1776,33,0.200888427,0.337678327
305,15,2,0.088526786,0.599355968,10,1548.4,31,0.103893981,0.331101236
306,15,57,0.093756518,0.624009342,8,727.125,33,0.121414316,0.392307738
307,15,1,0.083785011,0.612580126,9,1619.666667,33,0.066057113,0.349198798
308,15,17,0.104267358,0.612498643,11,2003.545455,31,0.197704122,0.369821375
309,15,3,0.073236329,0.628862634,12,1650,33,0.084761,0.377180437
310,15,125,0.095728079,0.614430127,10,1806.1,33,0.199202446,0.362368385
311,15,29,0.085461804,0.603219501,12,2047.083333,33,0.241854665,0.336865959
312,15,82,0.109489335,0.611872884,11,1951.727273,31,0.08026272,0.371899874
313,15,83,0.099007255,0.616187058,11,1375.272727,31,0.085614879,0.38154074
314,15,42,0.086915132,0.622433764,9,845.4444444,31,0.051113961,0.382270463
315,15,16,0.096804963,0.622400455,5,2294,31,0.135854073,0.389144057
316,15,123,0.094610377,0.614480439,9,1406.666667,31,0.240998267,0.365909136
317,15,108,0.134123828,0.592802798,9,2004.888889,33,0.254006586,0.34695768
318,16,9,0.112092927,0.596484894,11,1132.818182,33,0.305605574,0.335787037
319,16,44,0.119865797,0.574916799,6,1109.666667,33,0.177717918,0.31404478
320,16,71,0.093142799,0.609520737,10,2268.6,35,0.222259137,0.351263508
321,16,72,0.103084454,0.58270048,12,1474.583333,35,0.389306962,0.317392251
322,16,46,0.111740339,0.59132977,12,3103.666667,35,0.293424594,0.330161444
323,16,22,0.094334377,0.607792466,15,1044.133333,31,0.234360805,0.353024614
324,16,111,0.091898493,0.579046418,13,1007,37,0.326628108,0.302968423
325,16,75,0.099039668,0.591126056,13,886.6153846,35,0.14868064,0.32959082
326,16,112,0.121611318,0.567072923,4,913.5,35,0.328143864,0.298314274
327,16,33,0.09908674,0.591157317,9,1443.555556,37,0.403821203,0.322947455
328,16,76,0.142850965,0.585774992,8,1237.25,35,0.194805769,0.332843904
329,16,8,0.093289476,0.608395944,12,1879.583333,31,0.267141912,0.348828235
330,16,74,0.071083327,0.610442785,10,1516.8,35,0.194996032,0.33892845
331,16,57,0.100568885,0.590028034,13,1510.153846,35,0.365812382,0.321731787
332,16,86,0.11754509,0.604951238,11,953.9090909,33,0.11442726,0.371080094
333,16,73,0.075589946,0.604778198,13,858,35,0.128138451,0.335383078
334,16,21,0.099586073,0.613280486,10,1648.9,31,0.117446622,0.363989999
335,16,34,0.108259885,0.58347033,6,756.5,37,0.399511937,0.314737421
336,16,103,0.072348824,0.599641102,12,1350.833333,33,0.346873545,0.323994334
337,17,44,0.103352291,0.606032194,13,1852.692308,31,0.172172327,0.349033945
338,17,46,0.163065602,0.589339375,4,4428.25,31,0.187697305,0.363002206
339,17,74,0.131489502,0.594185582,7,2356.428571,31,0.194643459,0.341520766
340,17,65,0.135909453,0.59281778,17,1167.117647,29,0.290743735,0.334901686
341,17,89,0.134611117,0.596388355,13,1556.923077,29,0.181616617,0.343393919
342,17,136,0.127824883,0.596997721,10,1051.8,31,0.269936702,0.342499061
343,17,91,0.106969439,0.589865876,13,2724.307692,29,0.166636173,0.320359387
344,17,111,0.090014528,0.601213557,13,2191.230769,31,0.225461961,0.331353272
345,17,2,0.098038939,0.616179692,17,1690.764706,29,0.209554602,0.371342944
346,17,1,0.171148902,0.595324664,12,2549.25,29,0.234134136,0.377900346
347,17,86,0.111204481,0.606207204,15,1738.066667,29,0.276710417,0.351747457
348,17,3,0.07491342,0.6161999,12,1390.083333,31,0.223125486,0.355361805
349,17,123,0.110410919,0.60206892,15,1338.533333,29,0.178383255,0.341675135
350,17,100,0.148360777,0.582841181,10,1342.7,29,0.238017528,0.332086086
351,17,135,0.113523266,0.612220993,12,1145.083333,33,0.267640453,0.369127538
352,17,122,0.116453217,0.598687774,13,1221.769231,29,0.28189467,0.342471734
353,17,88,0.086091604,0.608715126,13,1378.615385,31,0.124440141,0.338836866
354,17,124,0.182639106,0.583112471,7,986.1428571,29,0.192195446,0.364958826
