,Sheep,Image,Scale,Directionality
288,14,81,31,0.23135827251787727
289,14,94,33,0.19307435363659
290,14,111,33,0.19486672473125735
291,14,66,31,0.3227589760872397
292,14,127,35,0.15491950229705384
293,14,128,35,0.19373131978580224
294,14,97,33,0.0893456752855339
295,14,50,33,0.36887676019301835
296,15,138,31,0.18419846347115001
297,15,95,33,0.23001252756541107
298,15,30,31,0.06766529282929323
299,15,70,33,0.20503353075459949
300,15,109,31,0.16457710662369043
301,15,96,31,0.15703061255753523
302,15,111,31,0.24246943417695044
303,15,124,31,0.1684531036166703
304,15,58,33,0.2008884265160053
305,15,2,31,0.10389398114374175
306,15,57,33,0.12141431625410729
307,15,1,33,0.06605711303535015
308,15,17,31,0.19770412152086925
309,15,3,33,0.08476100014522629
310,15,125,33,0.19920244631046802
311,15,29,33,0.24185466467379585
312,15,82,31,0.08026272044868667
313,15,83,31,0.08561487887353066
314,15,42,31,0.05111396136846421
315,15,16,31,0.1358540727299474
316,15,123,31,0.24099826680079478
317,15,108,33,0.25400658569952944
318,16,9,33,0.305605573645343
319,16,44,33,0.17771791809490317
320,16,71,35,0.22225913729604635
321,16,72,35,0.3893069617852941
322,16,46,35,0.2934245935851736
323,16,22,31,0.23436080489482994
324,16,111,37,0.3266281078701257
325,16,75,35,0.14868063957242103
326,16,112,35,0.32814386393436185
327,16,33,37,0.4038212029901824
328,16,76,35,0.1948057691814818
329,16,8,31,0.2671419115851579
330,16,74,35,0.1949960318062501
331,16,57,35,0.36581238201754096
332,16,86,33,0.11442725953968094
333,16,73,35,0.12813845109520225
334,16,21,31,0.11744662192146499
335,16,34,37,0.39951193677286123
336,16,103,33,0.34687354549068516
337,17,44,31,0.1721723274694806
338,17,46,31,0.18769730514096444
339,17,74,31,0.19464345903709895
340,17,65,29,0.2907437349373351
341,17,89,29,0.18161661657021524
342,17,136,31,0.2699367015270826
343,17,91,29,0.16663617324143623
344,17,111,31,0.22546196116597828
345,17,2,29,0.20955460203936518
346,17,1,29,0.234134135753142
347,17,86,29,0.27671041731797674
348,17,3,31,0.2231254863143866
349,17,123,29,0.1783832551794875
350,17,100,29,0.23801752802350232
351,17,135,33,0.2676404529465071
352,17,122,29,0.28189467031284343
353,17,88,31,0.1244401412493405
354,17,124,29,0.19219544624605867
355,17,45,31,0.14955987534082954
356,17,75,29,0.27724765681436825
357,17,109,31,0.27942458181874985
358,17,87,29,0.2109080483659724
359,17,43,31,0.1361271019516617
360,17,90,29,0.19628830753514095
361,17,30,31,0.07826175566581182
362,17,121,31,0.186553411458394
363,17,27,31,0.14414822442718928
364,18,69,33,0.14063567367399735
365,18,12,35,0.2631305251129049
366,18,68,35,0.24667202462644597
367,18,96,33,0.20093198761700784
368,18,97,33,0.1988989704719334
369,18,1,35,0.2226756425704955
370,18,95,33,0.14124259660225236
371,18,45,33,0.2410269997593364
372,18,46,33,0.2557216179012347
373,18,58,31,0.29878467524656294
374,18,24,31,0.16588594606670606
375,19,110,33,0.12262685231615184
376,19,111,35,0.13354085228422477
377,19,100,33,0.18697182607109009
378,19,3,33,0.2567423324484677
379,19,1,33,0.18406720126717463
380,19,6,35,0.308830604842754
381,19,58,29,0.20692555098462767
382,19,30,33,0.33225193116407187
383,19,33,35,0.3106724990588455
384,19,97,35,0.20699788552830253
385,19,31,33,0.31550201711147263
386,19,5,35,0.25260184173261496
387,19,19,33,0.2438534559312241
388,19,86,35,0.10199521720508158
389,19,122,35,0.19863058927616925
390,19,18,33,0.2829748353213767
391,19,47,35,0.2957600892891451
392,19,4,35,0.16781396351769762
393,19,44,35,0.2566079242107857
394,19,48,35,0.2909244180149244
395,19,59,29,0.22933440614525175
396,19,60,31,0.17496941244323835
397,19,70,31,0.2252234913263187
398,19,2,33,0.2653819698889282
399,19,20,29,0.2740840042868902
400,19,71,33,0.30673226463164
401,19,84,35,0.12534561782032005
402,19,112,35,0.13188409848146693
403,19,124,35,0.21487200531055844
404,19,98,35,0.15930821363323627
405,19,125,35,0.1965883664425134
406,19,109,33,0.27787896693788766
407,19,85,33,0.14843142393278475
408,19,61,29,0.15454566898575695
409,19,72,35,0.31467375596715674
410,19,99,35,0.22948051069878325
411,19,46,35,0.2670288375292893
412,19,34,37,0.32196377556267497
413,19,87,35,0.1776001512253993
414,19,17,33,0.3175396708941621
415,19,123,35,0.18527907765289756
416,19,45,35,0.29130420071283447
417,19,134,33,0.2623816386081405
418,19,135,33,0.22982033344309064
419,19,73,35,0.31996492744975474
420,20,114,33,0.3838150969525668
421,20,102,37,0.4789202574568666
422,20,40,39,0.5758380332277354
423,20,65,35,0.3467664723604249
424,20,103,33,0.41110971620596026
425,20,1,39,0.5431056842900507
426,20,90,39,0.5119778494863675
427,20,76,37,0.4950915520384757
428,20,13,35,0.3970958278652535
429,20,39,37,0.4815986098604488
430,20,89,39,0.5354503568031168
431,20,15,35,0.37043622134960225
432,20,77,33,0.34648994858059146
433,20,64,35,0.3484647182880793
434,21,28,41,0.31202363933858096
435,21,55,41,0.2204306652117524
436,21,91,41,0.32138906546288687
437,21,56,39,0.1718853174842001
438,21,29,45,0.4613024504721362
439,21,41,43,0.5076059407186639
440,21,68,39,0.2121597820499478
441,21,113,43,0.5733063302554142
442,21,1,43,0.45610968126515933
443,21,42,41,0.4099660870574821
444,21,2,45,0.5686585212550576
445,21,3,45,0.5843497072580572
446,21,83,43,0.46140506609856285
447,21,114,41,0.35642868118026866
448,21,92,41,0.37481277551798686
449,21,93,41,0.2833695237307866
450,21,106,43,0.4922723861858596
451,21,27,39,0.25802665611771547
452,21,40,43,0.39974551498724464
453,21,54,45,0.36284311897893895
454,21,15,39,0.16740532851047596
455,21,16,41,0.2513169165085593
456,21,112,43,0.4609529826573705
457,21,17,37,0.17370222657416073
458,22,19,43,0.5985533315779836
459,22,93,41,0.5550644827262544
460,22,84,37,0.4847817310056059
461,22,73,43,0.5867912085844992
462,22,1,45,0.6645420383742727
463,22,2,43,0.6273164339549702
464,22,53,39,0.5392918902964843
465,22,103,41,0.5621981686991258
466,22,17,41,0.5190413888217317
467,22,54,43,0.615917983543857
468,22,31,43,0.6458811885728473
469,22,32,41,0.5830610283116099
470,22,72,45,0.6412609066898782
471,22,3,45,0.691449200130868
472,22,55,37,0.48682848916346666
473,22,92,43,0.6272501577378728
474,22,56,33,0.4377694955219167
475,22,41,41,0.4598186446932754
476,22,71,45,0.6496549731214999
477,22,52,43,0.6514204666355656
478,23,56,29,0.0858888308089556
479,23,60,45,0.48174747371542775
480,23,64,43,0.5802225124082804
481,23,22,27,0.13546370596551308
482,23,69,29,0.1647487429322104
483,23,26,29,0.14978474889080903
484,23,1,45,0.4912626598135016
485,23,43,33,0.17181655224278305
486,23,13,49,0.5987141286661196
487,23,28,31,0.20911192724414168
488,23,67,27,0.16378172423087825
489,23,58,25,0.1950533793638529
490,23,59,25,0.17560412497299926
491,23,73,27,0.21320499263367204
492,23,12,39,0.4105292140234455
493,23,41,39,0.3501553235801668
494,23,57,27,0.0742993413335786
495,23,66,29,0.159027041153531
496,23,42,41,0.38981732947800907
497,23,44,39,0.461855891759588
498,23,70,35,0.171917138527911
499,23,72,35,0.32839084112806627
500,23,63,43,0.5457857694806864
501,23,62,43,0.5167898344102944
502,23,61,43,0.5329161807384598
503,23,40,27,0.1242917501782629
504,23,11,31,0.2966783835116389
505,23,71,35,0.2793374494412075
506,23,65,43,0.5571269615975759
507,23,27,27,0.17328116355069456
508,23,68,27,0.13840099512297235
509,23,23,27,0.15696839202426957
510,23,55,33,0.11519822430113125
511,23,25,29,0.15553959550853283
512,23,24,27,0.15433633052599868
513,24,5,39,0.6667155968405698
514,24,6,39,0.5383495886919336
515,24,3,43,0.6536154180919178
516,24,1,41,0.5725998169252292
517,24,10,41,0.7128902647744851
518,24,4,41,0.5963607236683951
519,24,2,41,0.5746953101965006
520,24,9,43,0.6765890382734977
521,25,12,47,0.6627054577006076
522,25,2,35,0.332502458832807
523,25,7,47,0.6821290029322719
524,25,8,43,0.4891708834617507
525,25,3,37,0.4027197758663873
526,25,5,47,0.6465814152318173
527,25,6,47,0.6397322377994704
528,26,42,31,0.24111616290624707
529,26,23,31,0.48151944537513997
530,26,2,29,0.30169454889740044
531,26,1,27,0.26899021700211323
532,26,39,31,0.41036960287490415
533,26,16,31,0.43818817191689335
534,26,5,29,0.3188229019913957
535,26,19,29,0.4614155503840993
536,26,8,31,0.32110636230300915
537,26,25,29,0.3929810824635468
538,26,47,43,0.540500730319001
539,26,9,31,0.29247941267216204
540,26,44,31,0.2541336732389349
541,26,38,29,0.3870789557337713
542,26,43,31,0.2809987006447359
543,26,50,29,0.5571906096619329
544,26,27,29,0.22664982093482403
545,26,33,27,0.18452813520365655
546,26,40,31,0.47796626418307936
547,26,15,31,0.3858881662198722
548,26,41,31,0.24052908504638298
549,26,22,27,0.3798107197670851
550,26,45,31,0.2932431353954097
551,26,3,29,0.39175339369084666
552,26,7,29,0.38772928430698006
553,26,34,31,0.23748833226205837
554,26,37,29,0.48465990315666657
555,26,28,31,0.39631393657645736
556,26,12,39,0.4918953623051613
557,26,35,39,0.39532042011915564
558,26,18,31,0.4878922807310392
559,26,11,29,0.4400641630139939
560,26,4,29,0.26191911143587143
561,26,32,31,0.25526001000114495
562,26,21,27,0.4152122595061188
563,26,20,29,0.4382419535690669
564,26,6,29,0.3117228874101558
565,26,29,31,0.39075281557154634
566,26,36,29,0.2625603007273099
567,26,48,31,0.49402194956256695
568,26,49,29,0.5220007097946598
569,26,52,29,0.42457384788146
570,26,13,31,0.41954585795190635
571,27,98,33,0.3439954306463832
572,27,58,33,0.35336014324835446
573,27,124,31,0.20668394045712088
574,27,37,33,0.3436870078172298
575,27,110,33,0.32912461156118744
576,27,1,33,0.14117999936017547
577,27,100,33,0.429998032009837
578,27,78,33,0.3349406721717165
579,27,3,29,0.1157675443134461
580,27,38,35,0.3022418551912916
581,27,122,33,0.3884675136956963
582,27,87,31,0.26182972687301465
583,27,2,31,0.14237967075443578
584,27,57,33,0.3625599852559492
585,27,88,31,0.3905306318961267
586,27,36,31,0.2025535356326127
587,27,18,33,0.37999078617155413
588,27,86,33,0.35517934231862436
589,27,49,33,0.3744565765960518
590,27,101,37,0.3200852411724187
591,27,16,31,0.2002994868920663
592,27,121,33,0.39539790652778584
593,27,85,31,0.25724278178767374
594,27,109,33,0.3806298946507447
595,27,20,37,0.28945852364674335
596,27,120,37,0.28797980902571824
597,27,99,33,0.4159787318584619
598,27,17,31,0.31362002245803045
599,27,39,31,0.2824080685415492
600,27,19,31,0.3082904773780287
601,27,4,33,0.1598657755413497
602,27,123,33,0.42635616316894503
603,27,79,31,0.4679318924786544
604,28,87,31,0.36043489109915045
605,28,34,33,0.43357519249769894
606,28,48,43,0.5861795128414146
607,28,22,31,0.49062618481705683
608,28,68,31,0.39778235902969794
609,28,49,31,0.4538362546137731
610,28,51,39,0.4183682658390551
611,28,72,35,0.40753886882286666
612,28,69,35,0.29635330239544133
613,28,23,29,0.49808061668877623
614,28,11,29,0.4820308862128803
615,28,71,31,0.4393135301313687
616,28,50,31,0.35034785631387644
617,28,37,41,0.5235537545364566
618,28,84,43,0.5576920655716555
619,28,70,31,0.3173937709107985
620,28,85,33,0.3724468107404937
621,28,35,31,0.37966215085787414
622,28,1,43,0.6158194146371713
