,Sheep,Image,Count,meanSize,stdSize
241,13,257,12,1123.6666666666667,687.6482062476099
242,13,249,9,1652.5555555555557,1430.0014849340473
243,13,224,10,753.5,344.58068721273395
244,13,217,14,1172.0,904.4424486152466
245,13,240,9,2313.1111111111113,1864.950725857534
246,13,256,10,1352.4,905.031844743598
247,13,233,11,2833.909090909091,3235.107092636416
248,13,232,12,1514.5,1383.3229015670925
249,14,113,8,850.0,514.6785404502504
250,14,95,6,953.3333333333334,739.8276075471156
251,14,53,9,762.1111111111111,454.06177857801697
252,14,96,4,562.75,118.30759696655156
253,14,141,5,912.0,350.8999857509259
254,14,112,6,1070.3333333333333,956.657317027483
255,14,157,16,1110.25,767.1809190145437
256,14,32,8,754.375,697.4670131088639
257,14,51,5,1774.2,1728.4379537605626
258,14,31,3,533.3333333333334,178.8226930664997
259,14,144,8,1034.5,1003.5361229173567
260,14,19,5,528.4,192.7460505431953
261,14,30,5,934.6,736.4720225507551
262,14,4,5,522.8,158.79848865779547
263,14,143,12,959.4166666666666,634.9627887172252
264,14,155,12,785.9166666666666,555.9636466432755
265,14,98,3,317.0,18.05547008526779
266,14,52,10,853.0,665.0452616175835
267,14,129,7,790.0,653.4079889318771
268,14,100,7,961.7142857142857,557.6570155021593
269,14,125,12,612.0833333333334,395.24959589549934
270,14,142,7,916.0,763.2894975976396
271,14,140,7,896.8571428571429,332.1348386128865
272,14,18,6,789.1666666666666,560.1608152029995
273,14,67,6,1040.0,373.3996964826476
274,14,68,9,722.3333333333334,735.8755933504582
275,14,99,4,357.25,96.56701041245918
276,14,114,6,1337.5,919.9465111262357
277,14,3,4,700.75,247.92577014098393
278,14,126,7,1232.7142857142858,1287.1035827209328
279,14,5,4,848.75,670.1859350210209
280,14,2,4,356.0,59.16924876994806
281,14,44,9,861.8888888888889,690.6315056115018
282,14,54,11,1081.090909090909,816.8459802018376
283,14,65,7,883.2857142857143,660.0568621145377
284,14,80,5,1136.0,975.2507369902368
285,14,82,10,1246.2,1152.6647214172908
286,14,1,6,788.6666666666666,375.69520743401677
287,14,17,6,1803.1666666666667,1959.556873093733
288,14,81,3,957.3333333333334,262.75125541512114
289,14,94,3,501.6666666666667,120.95269966212228
290,14,111,11,1010.1818181818181,1137.1911023683685
291,14,66,12,789.25,832.5358976244408
292,14,127,4,772.75,388.2327748915591
293,14,128,7,693.4285714285714,395.72893216834933
294,14,97,12,689.0833333333334,427.55456929171305
295,14,50,11,560.8181818181819,288.43900195923516
296,15,138,7,3007.8571428571427,2139.761363768762
297,15,95,5,1701.6,880.9945743306255
298,15,30,11,2013.2727272727273,1648.4110856937407
299,15,70,14,1445.2857142857142,1678.309839799358
300,15,109,13,1493.6923076923076,1194.7627627155098
301,15,96,8,1360.375,811.5212470262254
302,15,111,7,2263.285714285714,2297.9573982303577
303,15,124,10,2401.6,2557.362672754883
304,15,58,12,1776.0,2029.8508565902077
305,15,2,10,1548.4,921.2711001654183
306,15,57,8,727.125,400.7494346533754
307,15,1,9,1619.6666666666667,1163.9361379961244
308,15,17,11,2003.5454545454545,1689.4393025571512
309,15,3,12,1650.0,1133.2490900062528
