,Sheep,Image,Lacunarity
274,14,68,0.10482640221342597
275,14,99,0.09107494035887381
276,14,114,0.09673066762050625
277,14,3,0.090188292523222
278,14,126,0.11359195826962952
279,14,5,0.07178668354661784
280,14,2,0.08242688395353863
281,14,44,0.0914114549089563
282,14,54,0.08369996238789153
283,14,65,0.07357296691322485
284,14,80,0.11025809517176301
285,14,82,0.12054154155575919
286,14,1,0.07292103123353884
287,14,17,0.08360935468626357
288,14,81,0.11322735213678205
289,14,94,0.08882772875714116
290,14,111,0.11041440638096928
291,14,66,0.08413949030505416
292,14,127,0.11167479975352958
293,14,128,0.06931083500806828
294,14,97,0.12071110999564318
295,14,50,0.06118315565958395
296,15,138,0.16022305410443072
297,15,95,0.0966367893198268
298,15,30,0.08867411431586453
299,15,70,0.07837491996976174
300,15,109,0.10173356370021477
301,15,96,0.09080601452390051
302,15,111,0.1151649502567679
303,15,124,0.0937203970182254
304,15,58,0.09161890006959195
305,15,2,0.08852678611334958
306,15,57,0.09375651836758206
307,15,1,0.08378501069219092
308,15,17,0.10426735793579718
309,15,3,0.07323632884204946
310,15,125,0.09572807894972124
311,15,29,0.08546180447752476
312,15,82,0.10948933526213292
313,15,83,0.09900725462910363
314,15,42,0.08691513178357506
315,15,16,0.0968049630454891
316,15,123,0.09461037683863076
317,15,108,0.1341238282189606
318,16,9,0.11209292681293165
319,16,44,0.11986579736727558
320,16,71,0.09314279886100611
321,16,72,0.1030844537659101
322,16,46,0.11174033932978128
323,16,22,0.09433437717257094
324,16,111,0.09189849252097579
325,16,75,0.09903966750044517
326,16,112,0.12161131847815221
327,16,33,0.09908673950538174
328,16,76,0.14285096484692386
329,16,8,0.09328947604127122
330,16,74,0.07108332688307611
331,16,57,0.10056888529192172
332,16,86,0.11754508954663132
333,16,73,0.07558994581364223
334,16,21,0.09958607275440089
335,16,34,0.10825988494704218
336,16,103,0.0723488236469266
337,17,44,0.10335229051000713
338,17,46,0.16306560205276324
339,17,74,0.13148950195670608
340,17,65,0.1359094525780401
341,17,89,0.13461111673080206
342,17,136,0.12782488278706025
343,17,91,0.10696943878747918
344,17,111,0.09001452764560537
345,17,2,0.09803893886607458
346,17,1,0.17114890198624994
347,17,86,0.11120448127968978
348,17,3,0.07491341985976416
349,17,123,0.1104109194752068
350,17,100,0.1483607774373392
351,17,135,0.11352326613286269
352,17,122,0.11645321687290171
353,17,88,0.08609160361367214
354,17,124,0.1826391060626773
355,17,45,0.11655528079835135
356,17,75,0.14918011707083234
357,17,109,0.13403680680367155
358,17,87,0.13945036508911768
359,17,43,0.13949999868597954
360,17,90,0.17120025510099202
361,17,30,0.086050986811507
362,17,121,0.11651192289924488
363,17,27,0.11717196713063889
364,18,69,0.12528929962285473
365,18,12,0.13140009461971225
366,18,68,0.09617238251881904
367,18,96,0.13925258106590954
368,18,97,0.1175933077525266
369,18,1,0.11814152937319837
370,18,95,0.12679890787574685
371,18,45,0.1625184691166249
372,18,46,0.12256866831026472
373,18,58,0.11375167782049214
374,18,24,0.08474330880002609
375,19,110,0.08330955977728899
376,19,111,0.07107873807653776
377,19,100,0.08055117716394591
378,19,3,0.07401464884349228
379,19,1,0.07102070777087557
380,19,6,0.07969262038928239
381,19,58,0.07393901667332564
382,19,30,0.06825474118799614
383,19,33,0.0838498817472192
384,19,97,0.09028823908129525
385,19,31,0.0735543687970466
386,19,5,0.06758681956298818
387,19,19,0.06914442029979985
388,19,86,0.07594655474157655
389,19,122,0.13103088305029068
390,19,18,0.07195481998591695
391,19,47,0.05840548240552939
392,19,4,0.07554862836745313
393,19,44,0.06291402242884908
394,19,48,0.07236089803177649
395,19,59,0.08954113650576774
396,19,60,0.09173286090713981
397,19,70,0.07923969688670651
398,19,2,0.06306004128069773
399,19,20,0.06941805973187301
400,19,71,0.0659242459488798
401,19,84,0.08385345875808595
402,19,112,0.07228337791680603
403,19,124,0.07696069149034425
404,19,98,0.07522140725523445
405,19,125,0.09041423755396445
406,19,109,0.08588597187583577
407,19,85,0.08340525434157385
408,19,61,0.09784242254691478
409,19,72,0.06375246280457515
410,19,99,0.07750049016206395
411,19,46,0.055771608990717154
412,19,34,0.06822945609154493
413,19,87,0.10078534510003397
414,19,17,0.07633238015094979
415,19,123,0.08303693746413697
416,19,45,0.058681906937207054
417,19,134,0.08733469436202412
418,19,135,0.09338876969867085
419,19,73,0.0674433996864871
420,20,114,0.09187838262420753
421,20,102,0.06879494942360874
422,20,40,0.07020553906507299
423,20,65,0.05556030911370006
424,20,103,0.08133665079090618
425,20,1,0.07318374658716581
426,20,90,0.06610902507704347
427,20,76,0.056350853424391605
428,20,13,0.09048835162861012
429,20,39,0.09296416478303908
430,20,89,0.0814844873134602
431,20,15,0.054937579818988724
432,20,77,0.08783014229436374
433,20,64,0.09029782958035318
434,21,28,0.056893917560255684
435,21,55,0.05267503503057106
436,21,91,0.056711849127149126
437,21,56,0.06838095381423143
438,21,29,0.043166610818466865
439,21,41,0.05259665441837364
440,21,68,0.061423338776955556
441,21,113,0.04678138480898416
442,21,1,0.04217466137310088
443,21,42,0.06654036685523296
444,21,2,0.035256596071965324
445,21,3,0.03556979991355421
446,21,83,0.06412700981935336
447,21,114,0.06304933106130264
448,21,92,0.055706116944655035
449,21,93,0.056133800942583564
450,21,106,0.06090479190748523
451,21,27,0.059701810377093156
452,21,40,0.060890338202723604
453,21,54,0.05082339482413676
454,21,15,0.07897311260812717
455,21,16,0.08851125796666794
456,21,112,0.057859645199929984
457,21,17,0.06644958933226265
458,22,19,0.08472452802837137
459,22,93,0.07257399856803766
460,22,84,0.07431704261016396
461,22,73,0.0613227050961927
462,22,1,0.06255683349958459
463,22,2,0.05757984144183181
464,22,53,0.06475775745923594
465,22,103,0.06177676325470262
466,22,17,0.08747274844552264
467,22,54,0.06074939483033833
468,22,31,0.08308976610421041
469,22,32,0.045639689992827734
470,22,72,0.09300718137749764
471,22,3,0.05194880480935193
472,22,55,0.06972102972696341
473,22,92,0.07077817599801248
474,22,56,0.06980728024647967
475,22,41,0.10681248979495127
476,22,71,0.06259559802287869
477,22,52,0.05170327655984154
478,23,56,0.10615831362835157
479,23,60,0.07453914216122447
480,23,64,0.07206365080304569
481,23,22,0.13829324653115196
482,23,69,0.1433175483076736
483,23,26,0.13618048140259423
484,23,1,0.06878621017934732
485,23,43,0.08677409127195228
486,23,13,0.08876821285928047
487,23,28,0.1338211242075222
488,23,67,0.12284702541128135
489,23,58,0.17594836449562054
490,23,59,0.14570001808224411
491,23,73,0.1535490354653186
492,23,12,0.08347801417895666
493,23,41,0.07401606519575726
494,23,57,0.12049629490461782
495,23,66,0.124730340559885
496,23,42,0.06682820757974513
497,23,44,0.09834582732433916
498,23,70,0.08322373967103412
499,23,72,0.11724775679511308
500,23,63,0.0749066029255439
501,23,62,0.08336599080624155
502,23,61,0.05943332454220748
503,23,40,0.12060663572777189
504,23,11,0.0957319863898822
505,23,71,0.1251346786772475
506,23,65,0.06626925460385634
507,23,27,0.1364533405055939
508,23,68,0.1387145455190114
509,23,23,0.16094424943434793
510,23,55,0.10069098330041736
511,23,25,0.13055188779916216
512,23,24,0.1450711634058038
513,24,5,0.039160941285314305
514,24,6,0.05703020706887778
515,24,3,0.06945356535320377
516,24,1,0.052368245738866115
517,24,10,0.04958984593847979
518,24,4,0.047929494676079286
519,24,2,0.050675078744732927
520,24,9,0.060434466647050225
521,25,12,0.06648076454874272
522,25,2,0.08220552208294078
523,25,7,0.07400033357936395
524,25,8,0.0706202549666394
525,25,3,0.09015384795155687
526,25,5,0.06414064913977124
527,25,6,0.0648613510346422
528,26,42,0.07569475693777719
529,26,23,0.09153013495052997
530,26,2,0.08567576075572911
531,26,1,0.10019952229554793
532,26,39,0.07206421398021043
533,26,16,0.06618339900745401
