,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Mean_hep_size,Min_hep_size,Max_hep_size,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,BirthYear,E,CES,RES
70,4.0,12.0,0.12594022631802448,0.5854301831312589,12.0,1994.166666666667,35.0,0.13071234942449114,0.3506929818601807,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
71,4.0,46.0,0.1060058970481516,0.5966000481916772,15.0,2540.2,35.0,0.10894412441322067,0.3561704586687452,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
72,4.0,128.0,0.1212797146280636,0.5475139389585013,10.0,2156.7,37.0,0.2621861980069528,0.2900027424891185,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
73,4.0,126.0,0.104027502593675,0.5528710081293849,15.0,1406.0,37.0,0.20185955877076747,0.278302627260143,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
74,4.0,99.0,0.09856345661553292,0.5844337485733516,12.0,2128.9166666666665,37.0,0.25663626967590203,0.3250084298867585,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
75,4.0,111.0,0.10410469352903882,0.5879337245043559,12.0,1960.333333333333,37.0,0.21628972507366304,0.3310576659240448,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
76,4.0,71.0,0.1007841464604763,0.5902261520258276,18.0,2296.222222222222,33.0,0.2409641360523468,0.33956437442926485,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
77,4.0,127.0,0.07893948166788622,0.5854547190184289,14.0,2521.5,35.0,0.1819115767101118,0.3165465860676764,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
78,4.0,88.0,0.10099738401847076,0.5773202083809691,14.0,2442.214285714286,35.0,0.21650488613921387,0.3180423364705153,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
79,4.0,74.0,0.10014544211447436,0.5626135436969787,14.0,2116.6428571428573,35.0,0.3742237571140957,0.29327765610942563,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
